episode,total_reward
1,-1247.957834778531
2,-1255.937888613428
3,-1263.174902706078
4,-1255.8494854839307
5,-1242.1377096860492
6,-935.1395384578751
7,-958.0582015329624
8,-987.9121655948823
9,-1032.4503955829052
10,-993.0057838191963
11,-971.9928336924967
12,-995.263321196385
13,-991.0070354667088
14,-982.511464731776
15,-956.7319190110579
16,-943.7188493545515
17,-942.1638862549158
18,-948.1327345188852
19,-950.1276277090817
20,-965.4657487665356
21,-956.780399562123
22,-967.5510603968933
23,-947.7126680167256
24,-946.6898602984542
25,-968.2401865364808
26,-964.9271715668272
27,-960.363997661912
28,-956.7939649588839
29,-953.9612345205662
30,-962.0628623352769
31,-960.8855762323055
32,-966.5938249428453
33,-961.9724389218085
34,-941.67767957486
35,-973.8988851189758
36,-962.6967673376419
37,-961.6958998701796
38,-952.0957432704558
39,-962.834397741536
40,-953.8987258366884
41,-957.311773160289
42,-966.168596751631
43,-948.8761221970061
44,-967.0471184076748
45,-961.7783188454125
46,-958.9435607218924
47,-946.897233478528
48,-962.3643670522025
49,-952.6348834345089
50,-960.2877842211951
51,-984.9899782807547
52,-980.0446985033823
53,-978.430156719886
54,-997.442358493295
55,-982.3418782031493
56,-1002.8647712799531
57,-981.3642949431817
58,-952.2397889848655
59,-954.5475031180838
60,-956.2635135020313
61,-953.3182429398354
62,-957.6063919762034
63,-944.7300866833374
64,-954.9418881209432
65,-949.0553534706181
66,-960.8737526477706
67,-950.4183646107924
68,-948.4233304836882
69,-948.2878108743218
70,-942.5918453771746
71,-939.5430645359157
72,-956.1015581824586
73,-953.2817028136108
74,-946.9240819591247
75,-945.3105686077804
76,-948.1018580013096
77,-958.3051655927585
78,-941.0530450903252
79,-937.3566589177576
80,-953.8781011440062
81,-951.7080045010072
82,-946.187193799844
83,-961.2028090367481
84,-954.7522586998502
85,-954.5531383559482
86,-944.5253623900295
87,-963.0718901797651
88,-956.0059822550146
89,-947.5892087558933
90,-945.8574116147204
91,-942.0328408621192
92,-957.3326114456713
93,-943.8868561296508
94,-944.5439051165649
95,-950.5042612656098
96,-958.2001643344223
97,-957.9927084303409
98,-959.3731866000397
99,-939.7726368100373
100,-950.2091610750501
101,-948.733322866262
102,-951.7880479850172
103,-953.0522921920144
104,-947.0012100446286
105,-965.6287514256619
106,-965.2816458250184
107,-965.8764916980883
108,-950.6599862093607
109,-939.598200155881
110,-959.7319810270347
111,-949.9883713198346
112,-957.6687480547101
113,-965.6074989912647
114,-951.7041678996878
115,-948.7998053286468
116,-939.7494602030528
117,-957.5803299878967
118,-947.809170540699
119,-946.5511762735895
120,-932.3330315378759
121,-944.9037143391947
122,-950.3383037247277
123,-950.7670873359688
124,-949.8720042289355
125,-947.2650814199046
126,-950.4857459345354
127,-948.206000403424
128,-953.1620595571047
129,-963.0811670840137
130,-949.3716053395459
131,-947.6223050206925
132,-941.147622916096
133,-942.2082752909422
134,-947.6933182056498
135,-948.512143757705
136,-950.4633263533678
137,-963.2905864183463
138,-944.3551387964303
139,-946.9746039139318
140,-948.133600551714
141,-948.7041352457663
142,-952.8419769989717
143,-942.8157755259533
144,-962.4810668620072
145,-961.1052295880978
146,-962.2425130259977
