episode,total_reward
1,-614.5234383062264
2,-613.439566718126
3,-590.6883763785943
4,-580.1651108721437
5,-560.7183390826576
6,-546.872787621512
7,-503.7557616173154
8,-472.40593329499995
9,-415.1005145725969
10,-411.4176422437276
11,-407.0100113391388
12,-448.0794149756822
13,-454.1457621894606
14,-173.076138641842
15,-133.85807363599525
16,-134.93617604769116
17,-417.71839715165703
18,-410.8593021961037
19,-415.22216002889854
20,-410.6818238711163
21,-410.23607505451486
22,-411.4917839176342
23,-409.48467448462316
24,-416.227744308485
25,-416.79574515232713
26,-406.4370436239199
27,-413.18470379028884
28,-414.8732732230429
29,-407.3870642470616
30,-412.0376629403926
31,-406.6833024417185
32,-412.9552082887861
33,-434.64144601336744
34,-462.80690456626877
35,-353.6318039820273
36,-311.6699400284737
37,-275.29600793786324
38,-463.6991410022108
39,-290.54468545199563
40,-302.5845988540703
41,-439.31447795348595
42,-326.5694379123099
43,-233.36556245087945
44,-249.76145874471197
45,-251.27719185661428
46,-252.94094155964711
47,-186.76614924027143
48,-414.0917658971807
49,-418.7385656757874
50,-413.22620738143723
51,-149.11269320577617
52,-147.42143761483723
53,-157.3242855369425
54,-127.0481908556637
55,-244.79182921682886
56,-412.19608802614863
57,-58.890326480526085
58,-53.521967885227845
59,-18.014702709166862
60,-43.437578481284135
61,-2.5407092750571394
62,-17.76956891931453
63,-17.040686139776568
64,-36.50829201659166
65,-227.03093576413212
66,-235.75563136952576
67,-210.77492417023169
68,-94.39319806224341
69,-31.31585743849238
70,-13.418933004751352
71,-32.787301257912304
72,-118.10519354331356
73,-196.21903864961564
74,-152.5724886075478
75,-132.49819109905454
76,-182.1392572914145
77,-123.59497961314702
78,-11.467276690598489
79,-49.1500425424404
80,-95.5618722075395
81,-222.05783674455967
82,-118.2258415144416
83,-214.13167185929757
84,-247.08163489160935
85,-443.8387596686483
86,-445.1831097281093
87,-452.5303278677833
88,-461.36845891867284
89,-437.9524603561017
90,-446.86572652984796
91,-451.3615921293527
92,-438.33268920846746
93,-447.60091371015045
94,-469.6107775399995
95,-477.8860601191915
96,-472.5562006604588
97,-478.2284193063931
98,-472.7694546729413
99,-476.51780691729
100,-484.49404835382495
101,-485.3544308986717
