episode,total_reward
1,-629.5897347
2,-614.7107831
3,-635.1495804
4,-647.5863025
5,-633.4187905
6,-665.2833592
7,-662.7843616
8,-701.2978795
9,-684.0529099
10,-685.7015509
11,-663.9073773
12,-670.608149
13,-700.9833639
14,-710.8456213
15,-704.8099055
16,-710.0657581
17,-726.7805768
18,-700.3356382
19,-688.1177182
20,-713.457446
21,-642.4357353
22,-639.6817451
23,-615.8511848
24,-620.7126488
25,-614.3269729
26,-589.7697663
27,-570.4197038
28,-538.2321819
29,-555.7262706
30,-518.686812
31,-512.9242549
32,-490.0221463
33,-479.2278748
34,-469.8689467
35,-444.3384595
36,-430.5742154
37,-271.7586164
38,-26.45005281
39,-40.42942846
40,-73.59671299
41,-16.00097789
42,-37.13774619
43,-27.96085564
