cd episode,total_reward
1,-625.7933863038618
2,-644.7631365576008
3,-623.3130431029132
4,-586.4414926055044
5,-555.4155423400503
6,-539.3166079246232
7,-540.9360360252805
8,-531.4101136490717
9,-515.2717257680183
10,-504.4071401200536
11,-492.1437705035941
12,-510.05658931352116
13,-502.0572062243191
14,-467.0662108636447
15,-447.296164709486
16,-441.8097642677525
17,-446.689829039584
18,-475.44662316167074
19,-206.85147091495233
20,-152.69891628903912
21,-87.59077812116243
22,-56.81228986917044
23,-407.34104136802875
24,-415.7202346680734
25,-407.912259385101
26,-416.78004047351936
27,-423.9013369799764
28,-411.57313382550853
29,-413.25590662510007
30,-411.92592662241066
31,-415.33678111925997
32,-415.0057522202677
33,-418.33644534891835
34,-419.9772642586734
35,-420.3006251084093
36,-412.10698515603013
37,-407.5742451814638
38,-421.41731098368973
39,-420.7359676446838
40,-413.3993813237242
41,-416.7933365537864
42,-408.46681437828886
43,-426.47167523729263
44,-408.57028484844443
45,-418.8186768414622
46,-411.21593977220715
47,-415.7456833035022
48,-421.96836222272447
49,-413.66428238170033
50,-408.4592148167502
51,-409.8223566663148
52,-19.526034604729347
53,-46.89666640643344
54,-28.033845419413502
55,-50.78837035132823
56,-149.07134903613004
57,-36.33402439613192
58,-84.25773722509214
59,-45.06563194840146
60,-165.1836292575917
61,-229.61433628274347
62,-404.964613770091
63,-406.3056356956082
64,-405.86621184563387
65,-288.0267078508254
66,-418.11498559849997
67,-413.8574452944979
68,-416.479838972322
69,-406.29568472581104
70,-412.18972886069696
71,-403.24161252746165
72,-403.5991612235324
73,-415.7742427181153
74,-296.03263112265734
75,-421.56349990904863
76,-412.7362099591872
77,-413.5975307252417
78,-413.9392733400949
79,-409.787053773053
80,-407.1539305530438
81,-411.21385810627726
82,-412.98181783071567
83,-416.10022407334
84,-413.7708883814259
85,-456.0889492803841
86,-286.4881366363517
87,-319.0069536351537
88,-451.8705403645271
89,-411.6806455038412
90,-415.52929287552433
91,-409.77781350572246
92,-416.3359044061695
93,-430.02913904260487
94,-405.01048797839263
95,-411.8484960258333
96,-415.1116940726034
97,-412.62469678630254
98,-409.16019218080885
99,-411.33944968803524
100,-411.945856782344
101,-418.8509387851818
102,-412.60431485181977
103,-416.53169730431796
104,-433.43673725523934
105,-411.75747056838844
106,-407.2496766917388
107,-412.6892258564296
108,-426.876502372633
109,-437.00199011114677
110,-415.4749397799859
111,-416.3244324934399
112,-420.3363074334263
113,-414.37273130608713
114,-411.6985980534605
115,-413.7299288694545
116,-412.3907570358546
117,-410.9261579956309
118,-410.11460802621
119,-410.0405152047527
120,-413.23524852298345
121,-423.4729059454687
122,-416.56381775923813
123,-409.1374510450776
124,-420.799787376387
125,-416.3249476338444
126,-415.50245507808916
127,-404.36448185696514
128,-417.1090527878339
129,-416.61571418392975
130,-417.1580336827892
131,-412.45615122141055
132,-410.3021524233925
133,-417.0501648958195
134,-412.49571281531956
135,-420.6767016162415
136,-417.9054323217924
137,-408.4106088316187
138,-416.6301690893265
139,-413.92821061101466
140,-414.7681918107633
141,-345.2862436504385
142,-437.3558100311594
143,-408.5852203509068
144,-417.01769117276916
145,-412.3588930577461
146,-416.64767459245013
147,-350.19431097286144
148,-271.04826590979405
149,-294.9680700332423
150,-183.26216840310013
151,-85.05567900915618
152,-100.20356409424696
153,-94.32070537888256
154,-59.65974312156265
155,-140.29070628594283
156,-139.00205994795283
157,-59.13716026897511
158,-42.33460530418769
159,-51.56823943168494
160,-20.008231047696924
161,-2.1164555445505187
162,-12.78997630584449
163,-15.437804824807849
164,-3.9073850203871956
165,-11.816689617319781
166,-16.30170902575817
167,-55.81960822722504
168,-51.889071683175175
169,-75.18764435638391
170,-66.57480034895093
171,-193.7902080017167
172,-282.0298920403989
173,-212.05813431054563
174,-153.40752143249705
175,-203.43052019567205
176,-297.2601258533731
177,-419.1121930784862
178,-405.6861080824038
179,-415.4229488158728
180,-411.2345025221237
181,-414.4328264900886
182,-414.3705037616791
183,-415.91302985712673
184,-408.4940324579723
185,-413.64993229737894
186,-415.5094062015021
187,-419.3044672255146
188,-470.4680829539332
189,-245.8735948578852
190,-314.8032544337396
191,-240.1685784484615
192,-95.31278382370982
193,-29.54032550011415
194,-70.90088331049353
195,-429.29660308782366
196,-416.1671729949297
197,-412.2711858581028
198,-412.3613138099531
199,-418.9868609791646
200,-410.8052722580873
201,-408.28500751097977
202,-412.8375775371177
203,-416.57173112151355
204,-422.3853921054353
205,-370.91805469596363
206,-452.1208513270639
207,-422.82143115476293
208,-413.82685051719113
209,-417.8651906119859
210,-416.8109191905039
211,-414.7590611621181
212,-414.549256695537
213,-418.9757776684584
214,-419.39767643625555
215,-407.91913699759664
216,-417.1631210241623
217,-411.8134241947183
218,-413.78937207681554
219,-421.8972327831148
220,-406.7553166847144
221,-414.00232362199597
222,-411.1209270252218
223,-419.6465006479433
224,-429.15378460574925
225,-410.287743843503
226,-421.7426699968541
227,-417.8437161869639
228,-420.9454929885923
