episode,total_reward
1,-463.6396660257366
2,-448.2128827917785
3,-423.7967532492885
4,-193.28947604723044
5,-59.05519119703601
6,-68.4622240369091
7,-163.56139743265086
8,-317.6498816114907
9,-517.8230302026461
10,-392.1816094366915
11,-767.7102231003477
12,-1022.4069520640669
13,-1069.8589821077671
14,-888.5982518231506
15,-538.722817165554
16,-455.03663845109946
17,-407.94965409008927
18,-488.9734425011946
19,-507.29382790084173
20,-513.1806151861784
21,-526.8733693999322
22,-550.2541191353481
23,-534.8772377775138
24,-541.4386293271363
25,-514.6378405388153
26,-376.0221553129257
27,-2714.577565752919
28,-2760.270243384138
29,-90.72960675425702
30,-62.5330706817623
31,-81.66897083234565
32,-140.79921214557373
33,-52.61732024421566
34,-69.12793158539266
35,-53.54036709302556
36,-83.53457251697495
37,-73.93857641829678
38,-60.96476465339891
39,-61.561021413789376
40,-49.77811616408285
41,-43.7413528992735
42,-39.556653808430184
43,-40.09061889544705
44,-38.15614873280961
45,-41.127805398573216
46,-35.80605255740734
47,-34.95778182262576
48,-37.351381477481894
49,-36.33447403078162
50,-36.94560956047249
51,-39.87728291844812
52,-41.12208706599613
53,-36.184247029034026
54,-38.436248645255645
