episode,total_reward
1,-277.2852852
2,-280.3107856
3,-300.4375201
4,-292.8227183
5,-318.4596582
6,-307.9233723
7,-297.7665343
8,-281.5501536
9,-255.9644791
10,-225.7429797
11,-215.8746466
12,-203.1065532
13,-186.4113129
14,-192.5521276
15,-194.2321943
16,-193.1655204
17,-201.4254256
18,-207.097636
19,-222.3561468
20,-223.2783086
21,-231.9267311
22,-239.8940021
23,-255.6572456
24,-263.1719029
25,-261.5681381
26,-256.7490478
27,-250.5656607
28,-233.7299675
29,-227.9301493
30,-220.3537737
31,-204.5245951
32,-195.3573029
33,-179.093035
34,-170.3631364
35,-157.3673793
36,-156.2501213
37,-152.0369423
38,-145.5101722
39,-144.4529346
40,-147.6008017
41,-160.2298848
42,-167.9314391
43,-181.7162613
44,-196.8047692
45,-203.9002916
46,-214.3517733
47,-227.8582542
48,-232.8367246
49,-253.236438
50,-252.5540776
51,-258.8058349
52,-249.2882513
53,-253.9936446
54,-265.0631278
55,-267.8359872
56,-271.1388945
57,-268.3054137
58,-259.0474718
59,-258.0077449
60,-271.6045234
61,-262.1034721
62,-256.6906225
63,-219.6995795
64,-230.5027004
65,-224.718048
66,-227.8102794
67,-197.6211831
68,-178.8142896
69,-154.1562763
70,-133.0856647
71,-113.3730911
72,-103.8275433
73,-109.2250512
74,-109.9693544
75,-114.2457026
76,-127.6813856
77,-136.9557389
78,-129.2873026
79,-121.6729641
80,-117.0784395
81,-108.1193421
82,-113.0846607
83,-92.04837255
84,-88.05200261
85,-84.62642193
86,-78.15671247
87,-88.17486827
88,-120.537887
94,-148.1467651
96,-180.8317275
97,-187.0537619
98,-225.2493868
99,-278.2076435
100,-256.1088222
101,-229.7825752
102,-202.980564
103,-245.4734362
104,-247.7061255
105,-275.9352069
106,-274.5350517
107,-267.2450881
108,-277.6912751
109,-269.0897051
110,-300.6475806
111,-369.2187302
112,-384.3632333
113,-456.4365575
114,-457.8204102
115,-464.6323785
116,-442.725975
117,-424.802217
118,-390.6795299
119,-381.3925168
120,-351.6411232
121,-319.4442915
122,-334.5596503
123,-311.5791393
124,-280.0355777
125,-248.1510276
126,-241.0147281
127,-243.8574822
128,-226.2937129
129,-195.2437011
130,-137.4828297
131,-105.9392792
132,-105.9260474
133,-101.2107089
134,-99.22331732
135,-100.9341095
136,-143.3291401
137,-99.6406325
138,-86.00468472
139,-64.92023939
140,-56.29934242
141,-220.4368312
142,-41.48960549
143,-49.14633448
144,-39.85482668
145,-61.1782449
146,-72.16944882
147,-88.81364017
148,-46.08541437
149,-47.37693516
150,-67.69569603
151,-78.57086232
152,-163.5353654
153,-388.1703246
154,-401.5538962
155,-355.6730839
156,-318.8567312
157,-278.2113621
158,-275.6963017
159,-280.9497241
160,-278.1687596
161,-260.1889669
