episode,total_reward
1,-277.2852852018129
2,-280.31078562335296
3,-300.4375200864599
4,-292.82271834077346
5,-318.4596581614095
6,-307.9233723208365
7,-297.76653431597646
8,-281.5501536112596
9,-255.96447913841033
10,-225.74297972825585
11,-215.8746466474998
12,-203.10655322575147
13,-186.41131287788644
14,-192.55212761350344
15,-194.2321943150711
16,-193.16552042766
17,-201.42542562546961
18,-207.09763598726101
19,-222.35614677521596
20,-223.27830864948487
21,-231.92673114607445
22,-239.89400208313526
23,-255.65724558736258
24,-263.1719028943663
25,-261.56813805228825
26,-256.7490478266968
27,-250.56566072919293
28,-233.72996747257247
29,-227.930149317077
30,-220.35377374218564
31,-204.52459513151604
32,-195.35730285087186
33,-179.09303502075713
34,-170.36313639696775
35,-157.36737925884574
36,-156.2501213356391
37,-152.0369422973386
38,-145.51017215464515
39,-144.45293464450634
40,-147.60080167694858
41,-160.2298847919347
42,-167.9314391299992
43,-181.7162613055073
44,-196.8047691986273
45,-203.90029161765523
46,-214.35177332537097
47,-227.85825424492057
48,-232.83672460691298
49,-253.23643804923975
50,-252.55407764651443
51,-258.8058349044353
52,-249.28825128128116
53,-253.99364460631094
54,-265.0631277734388
55,-267.8359872104341
56,-271.1388944650151
57,-268.3054137101443
58,-259.0474717781374
59,-258.007744856843
60,-271.604523393248
61,-262.10347211922004
62,-256.69062247702243
63,-219.699579462135
64,-230.50270038844891
65,-224.7180479701381
66,-227.81027938005334
67,-197.6211830918842
68,-178.81428962165188
69,-154.15627630488046
70,-133.08566468935143
71,-113.37309108333204
72,-103.82754332578527
73,-109.22505119791306
74,-109.96935444386438
75,-114.24570260126997
76,-127.6813855926193
77,-136.9557388731008
78,-129.28730256985511
79,-121.67296406094971
80,-117.07843946828748
81,-108.1193420570705
82,-113.08466068859653
83,-92.04837255350193
84,-88.05200261014802
85,-84.62642193365632
86,-78.15671246669623
87,-88.17486827160275
88,-120.53788695415004
89,-1735.7158119552857
90,-2973.613364542585
91,-3138.785397921999
92,-3229.517356264947
93,-3322.9302205735366
94,-148.146765098927
95,-2296.094120270336
96,-180.83172750866356
97,-187.05376193741688
98,-225.24938677145045
99,-278.20764345574906
100,-256.10882220445
101,-229.78257524408434
102,-202.98056400487675
103,-245.47343616405206
104,-247.70612545259144
105,-275.9352069069137
106,-274.5350516900203
107,-267.2450880990102
108,-277.69127505250776
109,-269.0897051339773
110,-300.6475805969639
111,-369.21873016011375
112,-384.3632333155554
113,-456.4365575474024
114,-457.82041018143053
115,-464.6323784745644
116,-442.72597500009147
117,-424.8022169628865
118,-390.6795299439729
119,-381.3925168343719
120,-351.64112319603254
121,-319.44429153780385
122,-334.55965028041976
123,-311.5791392971307
124,-280.03557766347905
125,-248.15102763786024
126,-241.01472805171227
127,-243.85748218120563
128,-226.29371291742976
129,-195.24370111663
130,-137.48282965859835
131,-105.93927921227473
132,-105.92604738075232
133,-101.21070889663653
134,-99.22331731706682
135,-100.93410945509441
136,-143.32914005323948
137,-99.6406325040256
138,-86.00468472445795
139,-64.92023938872273
140,-56.29934241664673
141,-220.43683119523791
142,-41.489605494161395
143,-49.146334475653745
144,-39.85482667663043
145,-61.17824490444297
146,-72.16944881977966
147,-88.81364017098082
148,-46.085414371263006
149,-47.37693515551808
150,-67.69569602503816
151,-78.57086231940949
152,-163.53536540782147
153,-388.1703245698227
154,-401.55389624327745
155,-355.673083892465
156,-318.856731150968
157,-278.2113620818143
158,-275.69630172964514
159,-280.9497241332224
160,-278.1687596310216
161,-260.18896689085074
