episode,total_reward
1,-3030.0
2,-3050.0
3,-3050.0
4,-3050.0
5,-3050.0
6,-3050.0
7,-3050.0
8,-3050.0
9,-3050.0
10,-3050.0
11,-3050.0
12,-3050.0
13,-3050.0
14,-3050.0
15,-3050.0
16,-3050.0
17,-3050.0
18,-3050.0
19,-3050.0
20,-3050.0
21,-3050.0
22,-3050.0
23,-3050.0
24,-3050.0
25,-3050.0
26,-3050.0
27,-2810.0
28,-3050.0
29,-3050.0
30,-3050.0
31,-3050.0
32,-3050.0
33,-3050.0
34,-3050.0
35,-3050.0
36,-3050.0
37,-3050.0
38,-3050.0
39,-3050.0
40,-3050.0
41,-2250.0
42,-2070.0
43,-2090.0
44,-2090.0
45,-2110.0
46,-2130.0
47,-2190.0
48,-2150.0
49,-2070.0
50,-2090.0
