episode,total_reward
1,-1256.273231825534
2,-1260.4710760319422
3,-1270.7830620779648
4,-1253.628976026731
5,-1253.1340138191326
6,-1269.6409498180333
7,-1256.059695499021
8,-1260.9945602845444
9,-1277.844375511027
10,-1257.758143773204
11,-1262.7059461004549
12,-1259.2954921864193
13,-1275.9155985520376
14,-1251.8699852233153
15,-1267.3972452094108
16,-1265.8996664132455
17,-1260.1298233128098
18,-1267.5434780379728
19,-1247.1049816878785
20,-1267.3557132242552
21,-1269.9486121511075
22,-1263.0083639934344
23,-1248.8123050734762
24,-1257.640175941708
25,-1256.302014925669
26,-1264.7450813096762
27,-1249.5147692875407
28,-1273.4270979607509
29,-1262.289423645552
30,-1263.9507297608843
31,-1263.236470031802
32,-1255.8545253522936
33,-1258.472831556434
34,-1253.4193293540338
35,-1260.792524456791
36,-1274.0663102796136
37,-1249.1539557808935
38,-1264.9450525797456
39,-1251.8081960893328
40,-1261.734927845816
41,-1260.4321233953362
42,-1259.4964298327598
43,-1251.1723730649235
44,-1254.6806901720472
45,-1256.6715044853568
46,-1255.525678176301
47,-1262.935976707504
48,-1260.7774883435945
49,-1251.1590130915042
50,-1256.1096572225683
51,-1256.624633584972
52,-1255.7787200984044
53,-1255.4974606220728
54,-1261.734132874943
55,-1256.0137027783767
56,-1191.1317357108874
57,-1190.6297720592138
58,-1245.5326827336007
59,-1255.6861414653822
60,-1209.0401638111844
61,-695.3948394597271
62,-673.0222563752768
63,-549.1588315377144
64,-499.2889827436614
65,-452.1533013950947
66,-444.11117729011113
67,-386.32368170944414
68,-375.47716797307066
69,-370.1575584236023
70,-373.1833667056843
71,-360.65357257706944
72,-339.7586925585391
73,-334.34171598491565
74,-322.194176124924
75,-329.654666214244
76,-320.0392301247811
77,-321.1042499301271
78,-308.43059519451293
79,-314.3176373369841
80,-313.70071420196166
81,-307.13897781656027
82,-308.3432017038863
83,-306.3257812800514
84,-312.4135385336617
85,-302.65770834369295
86,-309.8999403096535
87,-304.01614651523283
88,-307.328998820109
89,-304.5826816351896
90,-303.3375879937858
91,-295.3196318813305
92,-306.7515144404011
93,-295.8286860628815
94,-309.6805000218728
95,-306.33051169764747
96,-299.3887452673911
97,-295.13917190880557
98,-297.6211402345688
99,-299.68227346144135
